Summary,Issue Type,Priority,Labels,Description,Epic Name,Epic Link,Acceptance Criteria,Components
"Ballot Verification","Epic","High","verifiability,security","As a voter, when I have submitted my ballot I can verify that my vote matches the receipt or recover a lost receipt.","","","Epic 1: Ballot Verification","Observer, BallotBox, Voter"
"Verify ballot by receipt hash (public)","Story","High","verifiability","As a voter, I want to enter my receipt hash on a public page so that I can instantly see if my ballot is in the system","","Ballot Verification","GET /api/public/verify/{receiptHash} returns 200 + status within 2s\nNo auth required\nRate-limited 20/min per IP\nReturns ballot ID, timestamp, status, Merkle proof","Observer"
"Cryptographic proof on verification page","Story","High","verifiability,crypto","As a voter, I want the verification page to show me a cryptographic proof so that I trust the result","","Ballot Verification","Includes full Merkle path\nPublic root updated every 60s\nThird-party verifier can validate","Observer, Common.Security"
"Authenticated view of my cast ballots","Story","Medium","verifiability","As a voter who lost my receipt, I want to log in with MFA and see all my cast ballots linked to my identity","","Ballot Verification","Shows receipt hash, submission time, status\nWorks after phone/email change","Voter, Observer"
"Re-download / re-send receipt","Story","Medium","verifiability","As a voter, I want to re-download or re-send my signed receipt","","Ballot Verification","Resend button triggers email/SMS\nReceipt has QR code to verification page","BallotBox, Voter"
"Near real-time bulletin board publishing","Story","High","verifiability","As an observer, I want every encrypted ballot published within 30 seconds of receipt","","Ballot Verification","99th percentile latency ≤ 30s\nAlert on missing ballots","Observer, BallotBox"
"Recount Request","Epic","Epic","High","audit","As a candidate or authorized organization, when results are disputed I can request and receive a verifiable recount.","","","Epic 2: Recount Request","Tally, Observer"
"Trigger recount via UI","Story","High","audit","As a jurisdiction admin, I want to trigger a recount via UI","","Recount Request","Button only visible to authorized roles and within legal window","Election, Tally"
"Reproducible recount with immutable data","Story","High","audit","As an auditor, I want re-tally using exact same code and immutable ballot box","","Recount Request","Same container image + S3 snapshot as original tally","Tally"
"Downloadable signed proof bundle","Story","Medium","audit","As a public observer, I want to download a signed proof bundle","","Recount Request","Contains original & recount roots, difference list, official signature","Observer"
"Block submissions during recount","Story","High","audit","As the system, I want to block new submissions during recount","","Recount Request","API returns 423 Locked","BallotBox"
"Provisional Ballot Curing","Epic","High","provisional","As a voter, when my ballot is provisional I can submit/update information to move it to counted status.","","","Epic 3: Provisional Ballot Curing","BallotBox, Voter"
"Receive secure cure link","Story","High","provisional","As a voter, I want a secure cure link via email/SMS","","Provisional Ballot Curing","Sent within 60s, expires in 7 days","BallotBox"
"Curing portal for document upload","Story","High","provisional","As a voter, I want a dedicated curing portal","","Provisional Ballot Curing","Accepts ID upload, address update, signature","Voter"
"Auto re-validate after curing","Story","High","provisional","As the system, I want to re-run validation after curing data submitted","","Provisional Ballot Curing","State → VALID_LATE within 2 min if passes","BallotBox"
"Curing confirmation notification","Story","Medium","provisional","As a voter, I want confirmation when my ballot is counted","","Provisional Ballot Curing","Email/SMS + updated My Votes page","Voter"
"Duplicate Vote Detection","Epic","High","security","As the system, when a voter attempts multiple submissions I can detect and reject duplicates.","","","Epic 4: Duplicate Vote Detection","BallotBox, Voter"
"Single-vote marker check","Story","High","security","As the system, I want to check single-vote marker before persisting","","Duplicate Vote Detection","VoterService returns AlreadyVoted → 409","BallotBox"
"Clear duplicate response","Story","Medium","security","As a voter, I want clear response if I submit twice","","Duplicate Vote Detection","Response includes receipt of first ballot","BallotBox"
"Duplicate attempt dashboard","Story","Low","monitoring","As an admin, I want duplicate attempt statistics","","Duplicate Vote Detection","Hourly/jurisdiction/device stats","Observer"
"System Outage Handling","Epic","High","reliability","As an administrator, when a system outage occurs I can ensure no votes are lost.","","","Epic 5: System Outage Handling","BallotBox, Infrastructure"
"Persist before 202 Accepted","Story","High","reliability","Persist to Kafka + immutable storage before 202 Accepted","","System Outage Handling","No 2xx until both writes succeed","BallotBox"
"Auto resume after restart","Story","High","reliability","Automatically resume from last offset after restart","","System Outage Handling","Lag < 60s after pod restart","BallotBox"
"Ransomware Attack Mitigation","Epic","Highest","security","As a system operator, when facing ransomware I can protect and recover data.","","","Epic 6: Ransomware Attack Mitigation","Infrastructure, Common.Security"
"Immutable WORM storage","Story","Highest","security","All ballot data stored in immutable WORM storage","","Ransomware Attack Mitigation","Object lock ≥ 7 years","Infrastructure"
"Air-gapped backups","Story","Highest","security","Daily air-gapped immutable backups","","Ransomware Attack Mitigation","Separate account/region","Infrastructure"
"Risk-Limiting Audit (RLA)","Epic","High","audit","As an election official, I can perform a statistical risk-limiting audit.","","","Epic 7: Risk-Limiting Audit","Tally, Observer"
"Random sample API","Story","High","audit","Cryptographically seeded random sample API","","Risk-Limiting Audit","POST /rla/sample returns verifiable IDs","Observer"
"Re-tally sample with proof","Story","High","audit","Re-tally sample and produce proof","","Risk-Limiting Audit","Proof matches published commitments","Tally"
"Overvote/Undervote Handling","Epic","Medium","validation","As a voter, I want to be prevented or warned about invalid vote selections.","","","Epic 8: Overvote/Undervote Handling","BallotBox, Ballot"
"Client-side validation","Story","Medium","validation","Real-time client-side validation for overvote/undervote","","Overvote/Undervote Handling","Submit disabled + warning","Voter UI"
"Server rejection","Story","High","validation","Server rejects overvote/undervote ballots","","Overvote/Undervote Handling","400 with contest IDs","BallotBox"
"Accessibility Compliance","Epic","High","accessibility","As a disabled voter, I can vote independently.","","","Epic 9: Accessibility Compliance","Voter UI, Ballot"
"Screen-reader compatibility","Story","High","accessibility","Full screen-reader compatibility","","Accessibility Compliance","Passes axe/WAVE + NVDA testing","Voter UI"
"High-contrast & scalable text","Story","Medium","accessibility","High-contrast & scalable text modes","","Accessibility Compliance","Toggle persists across sessions","Voter UI"
"Tie or Runoff Management","Epic","Medium","election","As an election official, when a contest ties I can trigger a runoff.","","","Epic 10: Tie/Runoff Management","Tally, Election"
"Tie detection event","Story","Medium","election","Detect exact ties and emit TieDetected event","","Tie or Runoff Management","Vote difference = 0","Tally"
"One-click runoff creation","Story","Medium","election","Create runoff election with one click","","Tie or Runoff Management","New election pre-filled","Election"
"Voter Coercion Detection","Epic","Medium","security","As an administrator, I can detect potential coercion patterns.","","","Epic 11: Voter Coercion Detection","BallotBox, Observer"
"High-velocity flagging","Story","Medium","security","Flag >10 ballots from same IP in 5 min","","Voter Coercion Detection","CoercionSuspected flag","BallotBox"
"Hybrid Paper Integration","Epic","Medium","paper","As an election worker, I can import paper ballots digitally.","","","Epic 12: Hybrid Paper Integration","BallotBox, Tally"
"Secure batch upload endpoint","Story","Medium","paper","Secure batch upload for scanned ballots","","Hybrid Paper Integration","mTLS + role-based access","BallotBox"
"Same validation pipeline","Story","High","paper","Imported ballots go through exact same validation/tally pipeline","","Hybrid Paper Integration","No special path","BallotBox, Tally"
